Municípios 	Código 	Gentílico 	População 2010 	Área da unidade territorial 2015 (km²) 	Densidade demográfica 2010 (hab/km²) 	Série revisada - Valor adicionado bruto Total, a preços correntes
Quatro Irmãos 	4315313 	quatroirmanense 	1.775 	267,99 	6,6 	77.899
Quevedos 	4315321 	quevedense 	2.710 	543,36 	5,0 	121.499
Quinze de Novembro 	4315354 	quinze-novembrense 	3.653 	223,64 	16,3 	127.272
Redentora 	4315404 	redentorense 	10.222 	302,68 	33,8 	125.560
Relvado 	4315453 	relvadense 	2.155 	123,44 	17,5 	41.207
Restinga Seca 	4315503 	restinguense 	15.849 	968,50 	16,6 	305.156
Rio dos Índios 	4315552 	riodinhense 	3.616 	235,32 	15,4 	68.545
Rio Grande 	4315602 	rio-grandino 	197.228 	2.709,52 	72,8 	6.385.316
Rio Pardo 	4315701 	rio-pardense 	37.591 	2.050,65 	18,3 	659.222
Riozinho 	4315750 	riozinhense 	4.330 	239,56 	18,1 	94.915
Roca Sales 	4315800 	roca-salense 	10.284 	208,63 	49,3 	304.099
Rodeio Bonito 	4315909 	rodeiense 	5.743 	83,17 	69,0 	104.449
Rolador 	4315958 	roladorense 	2.546 	295,01 	8,6 	74.455
Rolante 	4316006 	rolantense 	19.485 	295,64 	65,9 	384.815
Ronda Alta 	4316105 	ronda-altense 	10.221 	419,34 	24,4 	214.338
Rondinha 	4316204 	rondinhense 	5.518 	252,21 	21,9 	126.498
Roque Gonzales 	4316303 	roque-gonzalense 	7.203 	348,73 	20,8 	104.766
Rosário do Sul 	4316402 	rosariense 	39.707 	4.369,65 	9,1 	663.594
Sagrada Família 	4316428 	sagradense 	2.595 	78,25 	33,2 	45.084
Saldanha Marinho 	4316436 	saldanhense 	2.869 	221,61 	13,0 	111.712
Salto do Jacuí 	4316451 	salto-jacuiense 	11.880 	507,38 	23,4 	225.206
Salvador das Missões 	4316477 	salvadorense 	2.669 	94,04 	28,4 	77.416
Salvador do Sul 	4316501 	salvadorense 	6.747 	98,56 	67,6 	225.516
Sananduva 	4316600 	sananduvense 	15.373 	504,55 	30,5 	387.254
Sant'Ana do Livramento 	4317103 	santanense 	82.464 	6.941,61 	11,9 	1.223.002
Santa Bárbara do Sul 	4316709 	santa-barbarense 	8.829 	975,51 	9,1 	484.934
Santa Cecília do Sul 	4316733 	ceciliense 	1.655 	199,47 	8,3 	56.588
Santa Clara do Sul 	4316758 	santa-clarense 	5.697 	86,98 	65,8 	150.912
Santa Cruz do Sul 	4316808 	santa-cruzense 	118.374 	733,41 	161,4 	5.105.333
Santa Margarida do Sul 	4316972 	margaridense 	2.352 	955,30 	2,5 	123.603
Santa Maria 	4316907 	santa-mariense 	261.031 	1.781,76 	146,0 	5.152.161
Santa Maria do Herval 	4316956 	hervalense 	6.053 	139,70 	43,4 	155.790
Santa Rosa 	4317202 	santa-rosense 	68.587 	489,80 	140,0 	1.963.674
Santa Tereza 	4317251 	santa-teresense 	1.720 	73,98 	23,8 	30.095
Santa Vitória do Palmar 	4317301 	vitoriense 	30.990 	5.243,58 	5,9 	606.519
Santana da Boa Vista 	4317004 	santanense-da-boa-vista 	8.242 	1.420,62 	5,8 	110.833
Santiago 	4317400 	santiaguense 	49.071 	2.413,13 	20,3 	799.894
Santo Ângelo 	4317509 	santo-angelense ou angelopolitano 	76.275 	680,50 	112,1 	1.588.491
Santo Antônio da Patrulha 	4317608 	patrulhense 	39.685 	1.049,81 	37,8 	770.015
Santo Antônio das Missões 	4317707 	santo-antoniense 	11.210 	1.710,87 	6,6 	215.159
Santo Antônio do Palma 	4317558 	palmense 	2.139 	126,09 	17,0 	59.936
Santo Antônio do Planalto 	4317756 	santo-antoniense 	1.987 	203,44 	9,8 	83.019
Santo Augusto 	4317806 	santo-augustense 	13.968 	468,10 	29,8 	381.253
Santo Cristo 	4317905 	santo-cristense 	14.378 	366,89 	39,2 	347.939
Santo Expedito do Sul 	4317954 	expeditense 	2.461 	125,59 	19,6 	51.171
São Borja 	4318002 	são borjense 	61.671 	3.616,69 	17,1 	1.352.369
São Domingos do Sul 	4318051 	são-dominguense 	2.926 	78,72 	37,1 	46.124
São Francisco de Assis 	4318101 	assisense 	19.254 	2.508,45 	7,7 	308.597
São Francisco de Paula 	4318200 	serrano 	20.537 	3.264,49 	6,3 	388.137
São Gabriel 	4318309 	gabrielense 	60.425 	5.023,82 	12,0 	1.090.841
São Jerônimo 	4318408 	jeronimense 	22.134 	936,38 	23,6 	379.847
São João da Urtiga 	4318424 	urtiguense 	4.726 	171,18 	27,6 	94.165
São João do Polêsine 	4318432 	polesinense 	2.635 	78,22 	30,9 	47.063
São Jorge 	4318440 	são-jorgense 	2.774 	118,05 	23,5 	60.842
São José das Missões 	4318457 	são-josezense 	2.720 	98,07 	27,7 	43.739
São José do Herval 	4318465 	hervalense 	2.204 	103,09 	21,4 	38.144
São José do Hortêncio 	4318481 	hortenciense 	4.094 	64,11 	63,9 	92.100
São José do Inhacorá 	4318499 	inhacoraense 	2.200 	77,81 	28,3 	60.135
São José do Norte 	4318507 	nortense 	25.503 	1.118,10 	22,8 	253.236
São José do Ouro 	4318606 	ourense 	6.904 	334,77 	20,6 	205.958
São José do Sul 	4318614 	são josense do sul 	2.082 	59,03 	35,3 	43.348
São José dos Ausentes 	4318622 	ausentino 	3.290 	1.173,95 	2,8 	74.387
São Leopoldo 	4318705 	leopoldense 	214.087 	102,74 	2.083,8 	5.046.475
São Lourenço do Sul 	4318804 	lourenciano 	43.111 	2.036,13 	21,2 	726.467
São Luiz Gonzaga 	4318903 	são-luizense 	34.556 	1.295,68 	26,7 	819.299
São Marcos 	4319000 	são-marquense 	20.103 	256,25 	78,5 	464.149
São Martinho 	4319109 	são-martinhense 	5.773 	171,66 	33,6 	160.837
São Martinho da Serra 	4319125 	martinhense 	3.201 	669,55 	4,8 	145.023
São Miguel das Missões 	4319158 	miguelino 	7.421 	1.229,62 	6,0 	345.552
São Nicolau 	4319208 	são-nicolauense 	5.727 	485,35 	11,8 	89.456
São Paulo das Missões 	4319307 	paulista-das-missões 	6.364 	223,89 	28,4 	106.610
São Pedro da Serra 	4319356 	são-pedrense 	3.315 	35,39 	93,7 	53.370
São Pedro das Missões 	4319364 	são pedrense 	1.886 	79,97 	23,6 	39.415
São Pedro do Butiá 	4319372 	são-butiaiense 	2.873 	107,63 	26,7 	64.379
São Pedro do Sul 	4319406 	são-pedrense 	16.368 	873,59 	18,7 	249.431
São Sebastião do Caí 	4319505 	caiense 	21.932 	112,12 	196,8 	464.481
São Sepé 	4319604 	sepense 	23.798 	2.202,65 	10,8 	516.015
São Valentim 	4319703 	valentinense 	3.632 	154,19 	23,6 	68.789
São Valentim do Sul 	4319711 	são-valentinense 	2.168 	91,90 	23,5 	40.431
São Valério do Sul 	4319737 	são-valerense 	2.647 	107,97 	24,5 	46.524
São Vendelino 	4319752 	são-vendelinense 	1.944 	32,42 	60,6 	65.257
São Vicente do Sul 	4319802 	vicentino 	8.440 	1.175,23 	7,2 	166.271
Sapiranga 	4319901 	sapiranguense 	74.985 	138,03 	542,1 	1.894.816
Sapucaia do Sul 	4320008 	sapucaiense 	130.957 	58,31 	2.245,9 	2.321.409
Sarandi 	4320107 	sarandiense 	21.285 	353,39 	60,2 	550.436
Seberi 	4320206 	seberiense 	10.897 	301,42 	36,2 	241.290
Sede Nova 	4320230 	sede-novense 	3.011 	119,30 	25,2 	77.148
Segredo 	4320263 	segredense 	7.158 	245,81 	28,9 	104.576
Selbach 	4320305 	selbaquense 	4.929 	177,64 	27,8 	153.765
Senador Salgado Filho 	4320321 	salgadofilhense 	2.814 	147,21 	19,1 	65.772
Sentinela do Sul 	4320354 	sentinelense 	5.198 	281,96 	18,4 	70.062
Serafina Corrêa 	4320404 	serafinense 	14.253 	163,28 	87,3 	434.526
Sério 	4320453 	seriense 	2.281 	100,36 	22,9 	34.359
Sertão 	4320503 	sertanense 	6.294 	439,47 	14,3 	205.930
Sertão Santana 	4320552 	sertanense 	5.850 	251,85 	23,2 	108.899
Sete de Setembro 	4320578 	setembrense 	2.124 	129,99 	16,3 	49.465
Severiano de Almeida 	4320602 	severianense 	3.842 	167,60 	22,9 	71.967
Silveira Martins 	4320651 	sillveirense 	2.449 	119,29 	20,7 	37.340
Sinimbu 	4320677 	sinimbuense 	10.068 	510,12 	19,7 	154.168
Sobradinho 	4320701 	sobradinhense 	14.283 	128,08 	109,5 	277.023
Soledade 	4320800 	soledadense 	30.044 	1.213,41 	24,8 	534.207
Tabaí 	4320859 	tabaiense 	4.131 	94,75 	43,6 	64.115
Tapejara 	4320909 	tapejarense 	19.250 	238,62 	80,6 	534.630
Tapera 	4321006 	taperense 	10.448 	179,66 	58,2 	273.674
Tapes 	4321105 	tapense 	16.629 	806,30 	20,6 	256.444
Taquara 	4321204 	taquarense 	54.643 	457,88 	119,4 	921.195
Taquari 	4321303 	taquariense 	26.092 	349,97 	74,6 	501.722
Taquaruçu do Sul 	4321329 	taquaraçusense 	2.966 	76,85 	38,6 	72.651
Tavares 	4321352 	tavarense 	5.351 	604,25 	8,9 	66.535
Tenente Portela 	4321402 	portelense 	13.719 	337,96 	40,6 	245.838
Terra de Areia 	4321436 	terrareense 	9.878 	141,77 	69,7 	124.438
Teutônia 	4321451 	teutoniense 	27.272 	178,46 	152,7 	846.766
Tio Hugo 	4321469 	tio-huguense 	2.724 	113,91 	23,9 	83.979
Tiradentes do Sul 	4321477 	tiradentense 	6.461 	236,20 	27,6 	92.097
Toropi 	4321493 	toropiense 	2.952 	202,98 	14,5 	51.468
Torres 	4321501 	torrense 	34.656 	160,57 	215,8 	682.237
Tramandaí 	4321600 	tramandaiense 	41.585 	144,41 	288,0 	671.452
Travesseiro 	4321626 	travesseirense 	2.314 	81,12 	28,5 	53.066
Três Arroios 	4321634 	três-arroiense 	2.855 	148,58 	19,2 	101.990
Três Cachoeiras 	4321667 	três cachoeirense 	10.217 	251,06 	40,7 	152.081
Três Coroas 	4321709 	três-coroense 	23.848 	185,54 	128,5 	676.619
Três de Maio 	4321808 	três-maiense 	23.726 	422,20 	56,2 	600.293
Três Forquilhas 	4321832 	forquilhense 	2.914 	217,26 	13,4 	41.034
Três Palmeiras 	4321857 	três-palmeirense 	4.381 	180,60 	24,3 	91.817
Três Passos 	4321907 	três-passense 	23.965 	268,40 	89,3 	488.566
Trindade do Sul 	4321956 	trindadense 	5.787 	268,42 	21,6 	120.170
Triunfo 	4322004 	triunfense 	25.793 	818,80 	31,5 	4.678.770
Tucunduva 	4322103 	tucunduvense 	5.898 	180,81 	32,6 	141.152
Tunas 	4322152 	tunense 	4.395 	218,07 	20,2 	61.231
Tupanci do Sul 	4322186 	tupancisense 	1.573 	135,26 	11,6 	36.997
Tupanciretã 	4322202 	tupanciretanense 	22.281 	2.251,04 	9,9 	931.334
Tupandi 	4322251 	tupandiense 	3.924 	59,54 	65,9 	288.223
Tuparendi 	4322301 	tuparendiense 	8.557 	307,68 	27,8 	191.374
Turuçu 	4322327 	turuçuense 	3.522 	253,64 	13,9 	68.904
Ubiretama 	4322343 	ubiretamense 	2.296 	126,69 	18,1 	43.061
União da Serra 	4322350 	união-serrense 	1.487 	130,99 	11,4 	43.160
Unistalda 	4322376 	unistaldense 	2.450 	602,39 	4,1 	43.787
Uruguaiana 	4322400 	uruguaianense 	125.435 	5.703,59 	22,0 	1.900.353
Vacaria 	4322509 	vacariense 	61.342 	2.124,58 	28,9 	1.492.095
Vale do Sol 	4322533 	vale-solense 	11.077 	328,23 	33,8 	186.287
Vale Real 	4322541 	vale-realense 	5.118 	45,09 	113,5 	80.269
Vale Verde 	4322525 	valeverdense 	3.253 	329,73 	9,9 	61.963
Vanini 	4322558 	vaninense 	1.984 	65,11 	30,6 	45.850
Venâncio Aires 	4322608 	venâncio-airense 	65.946 	772,23 	85,3 	2.327.766
Vera Cruz 	4322707 	vera-cruzense 	23.983 	309,62 	77,5 	519.055
Veranópolis 	4322806 	veranense 	22.810 	289,43 	78,8 	750.885
Vespasiano Correa 	4322855 	vespasianense 	1.974 	113,89 	17,3 	49.195
Viadutos 	4322905 	viadutense 	5.311 	268,24 	19,8 	114.582
Viamão 	4323002 	viamense 	239.384 	1.497,09 	159,9 	2.414.171
Vicente Dutra 	4323101 	dutrense 	5.285 	193,06 	27,4 	76.207
Victor Graeff 	4323200 	victorense 	3.036 	238,27 	12,7 	140.507
Vila Flores 	4323309 	vila-florense 	3.207 	107,82 	29,7 	119.314
Vila Lângaro 	4323358 	vila-langarense 	2.152 	152,17 	14,1 	83.777
Vila Maria 	4323408 	vila-mariense 	4.221 	181,33 	23,3 	174.817
Vila Nova do Sul 	4323457 	vila-novense 	4.221 	507,94 	8,3 	73.684
Vista Alegre 	4323507 	vista-alegrense 	2.832 	77,46 	36,6 	50.664
Vista Alegre do Prata 	4323606 	vista-alegrense 	1.569 	119,33 	13,2 	39.755
Vista Gaúcha 	4323705 	vista-gauchense 	2.759 	89,80 	31,1 	52.083
Vitória das Missões 	4323754 	vitoriano 	3.485 	259,61 	13,4 	62.570
Westfália 	4323770 	westfaliano 	2.793 	63,67 	43,6 	94.171
Xangri-lá 	4323804 	xangri-laense 	12.434 	60,69 	204,9 	289.622
